[2024-12-01 23:54:58] [BTC] Última Média Rápida: 586543.8571428572 | Última Média Devagar: 583171.45
[2024-12-01 23:55:49] [ADA] Última Média Rápida: 6.877571428571429 | Última Média Devagar: 6.530425000000001
[2024-12-01 23:55:52] [BTC] Última Média Rápida: 586542.4285714285 | Última Média Devagar: 583171.2
[2024-12-01 23:55:54] [ETH] Última Média Rápida: 22328.54285714286 | Última Média Devagar: 22262.9515
[2024-12-01 23:55:57] [ADA] Última Média Rápida: 6.877571428571429 | Última Média Devagar: 6.530425000000001
[2024-12-01 23:56:00] [BTC] Última Média Rápida: 586509.4285714285 | Última Média Devagar: 583165.425
[2024-12-01 23:56:02] [ETH] Última Média Rápida: 22328.54285714286 | Última Média Devagar: 22262.9515
[2024-12-01 23:56:05] [ADA] Última Média Rápida: 6.877571428571429 | Última Média Devagar: 6.530425000000001
[2024-12-01 23:56:07] [BTC] Última Média Rápida: 586509.4285714285 | Última Média Devagar: 583165.425
[2024-12-01 23:56:10] [ETH] Última Média Rápida: 22328.54285714286 | Última Média Devagar: 22262.9515
[2024-12-01 23:56:13] [ADA] Última Média Rápida: 6.877571428571429 | Última Média Devagar: 6.530425000000001
[2024-12-01 23:56:15] [BTC] Última Média Rápida: 586509.2857142857 | Última Média Devagar: 583165.4
[2024-12-01 23:56:18] [ETH] Última Média Rápida: 22328.54285714286 | Última Média Devagar: 22262.9515
[2024-12-01 23:56:20] [ADA] Última Média Rápida: 6.877571428571429 | Última Média Devagar: 6.530425000000001
[2024-12-01 23:56:23] [BTC] Última Média Rápida: 586509.2857142857 | Última Média Devagar: 583165.4
[2024-12-01 23:56:25] [ETH] Última Média Rápida: 22328.54285714286 | Última Média Devagar: 22262.9515
[2024-12-01 23:56:28] [ADA] Última Média Rápida: 6.876428571428571 | Última Média Devagar: 6.530225
[2024-12-01 23:56:31] [BTC] Última Média Rápida: 586509.2857142857 | Última Média Devagar: 583165.4
[2024-12-01 23:56:33] [ETH] Última Média Rápida: 22328.54285714286 | Última Média Devagar: 22262.9515
[2024-12-01 23:56:36] [ADA] Última Média Rápida: 6.876428571428571 | Última Média Devagar: 6.530225
[2024-12-01 23:56:38] [BTC] Última Média Rápida: 586530.1428571428 | Última Média Devagar: 583169.05
[2024-12-01 23:56:41] [ETH] Última Média Rápida: 22328.54285714286 | Última Média Devagar: 22262.9515
[2024-12-01 23:56:43] [ADA] Última Média Rápida: 6.876428571428571 | Última Média Devagar: 6.530225
[2024-12-01 23:56:46] [BTC] Última Média Rápida: 586535.4285714285 | Última Média Devagar: 583169.975
[2024-12-01 23:56:49] [ETH] Última Média Rápida: 22328.54285714286 | Última Média Devagar: 22262.9515
[2024-12-01 23:56:51] [ADA] Última Média Rápida: 6.876428571428571 | Última Média Devagar: 6.530225
[2024-12-01 23:56:54] [BTC] Última Média Rápida: 586534.8571428572 | Última Média Devagar: 583169.875
[2024-12-01 23:56:56] [ETH] Última Média Rápida: 22328.54285714286 | Última Média Devagar: 22262.9515
[2024-12-01 23:56:59] [ADA] Última Média Rápida: 6.877 | Última Média Devagar: 6.530325
[2024-12-01 23:57:01] [BTC] Última Média Rápida: 586534.8571428572 | Última Média Devagar: 583169.875
[2024-12-01 23:57:04] [ETH] Última Média Rápida: 22328.54285714286 | Última Média Devagar: 22262.9515
[2024-12-01 23:57:07] [ADA] Última Média Rápida: 6.877 | Última Média Devagar: 6.530325
[2024-12-01 23:57:09] [BTC] Última Média Rápida: 586534.8571428572 | Última Média Devagar: 583169.875
[2024-12-01 23:57:12] [ETH] Última Média Rápida: 22328.54285714286 | Última Média Devagar: 22262.9515
[2024-12-01 23:57:14] [ADA] Última Média Rápida: 6.877 | Última Média Devagar: 6.530325
[2024-12-01 23:57:17] [BTC] Última Média Rápida: 586493.1428571428 | Última Média Devagar: 583162.575
[2024-12-01 23:57:19] [ETH] Última Média Rápida: 22328.54285714286 | Última Média Devagar: 22262.9515
[2024-12-01 23:57:22] [ADA] Última Média Rápida: 6.877 | Última Média Devagar: 6.530325
[2024-12-01 23:57:25] [BTC] Última Média Rápida: 586493.1428571428 | Última Média Devagar: 583162.575
[2024-12-01 23:57:27] [ETH] Última Média Rápida: 22330.137142857147 | Última Média Devagar: 22263.230499999998
[2024-12-01 23:57:30] [ADA] Última Média Rápida: 6.877 | Última Média Devagar: 6.530325
[2024-12-01 23:57:32] [BTC] Última Média Rápida: 586493.1428571428 | Última Média Devagar: 583162.575
[2024-12-01 23:57:35] [ETH] Última Média Rápida: 22330.137142857147 | Última Média Devagar: 22263.230499999998
[2024-12-01 23:57:38] [ADA] Última Média Rápida: 6.877 | Última Média Devagar: 6.530325
[2024-12-01 23:57:40] [BTC] Última Média Rápida: 586493.1428571428 | Última Média Devagar: 583162.575
[2024-12-01 23:57:43] [ETH] Última Média Rápida: 22330.137142857147 | Última Média Devagar: 22263.230499999998
[2024-12-01 23:57:45] [ADA] Última Média Rápida: 6.877 | Última Média Devagar: 6.530325
[2024-12-01 23:57:48] [BTC] Última Média Rápida: 586557.1428571428 | Última Média Devagar: 583173.775
[2024-12-01 23:57:50] [ETH] Última Média Rápida: 22330.137142857147 | Última Média Devagar: 22263.230499999998
[2024-12-01 23:57:53] [ADA] Última Média Rápida: 6.877 | Última Média Devagar: 6.530325
[2024-12-01 23:57:56] [BTC] Última Média Rápida: 586557.1428571428 | Última Média Devagar: 583173.775
[2024-12-01 23:57:58] [ETH] Última Média Rápida: 22330.137142857147 | Última Média Devagar: 22263.230499999998
[2024-12-01 23:58:01] [ADA] Última Média Rápida: 6.877 | Última Média Devagar: 6.530325
[2024-12-01 23:58:03] [BTC] Última Média Rápida: 586564.1428571428 | Última Média Devagar: 583175.0
[2024-12-01 23:58:06] [ETH] Última Média Rápida: 22332.37285714286 | Última Média Devagar: 22263.62175
[2024-12-01 23:58:08] [ADA] Última Média Rápida: 6.877 | Última Média Devagar: 6.530325
[2024-12-01 23:58:11] [BTC] Última Média Rápida: 586557.1428571428 | Última Média Devagar: 583173.775
[2024-12-01 23:58:14] [ETH] Última Média Rápida: 22332.37285714286 | Última Média Devagar: 22263.62175
[2024-12-01 23:58:16] [ADA] Última Média Rápida: 6.877 | Última Média Devagar: 6.530325
[2024-12-01 23:58:19] [BTC] Última Média Rápida: 586557.1428571428 | Última Média Devagar: 583173.775
[2024-12-01 23:58:21] [ETH] Última Média Rápida: 22334.384285714284 | Última Média Devagar: 22263.973749999997
[2024-12-01 23:58:24] [ADA] Última Média Rápida: 6.877 | Última Média Devagar: 6.530325
[2024-12-01 23:58:26] [BTC] Última Média Rápida: 586586.7142857143 | Última Média Devagar: 583178.95
[2024-12-01 23:58:29] [ETH] Última Média Rápida: 22334.384285714284 | Última Média Devagar: 22263.973749999997
[2024-12-01 23:58:32] [ADA] Última Média Rápida: 6.8837142857142855 | Última Média Devagar: 6.531499999999999
[2024-12-01 23:58:34] [BTC] Última Média Rápida: 586573.0 | Última Média Devagar: 583176.55
[2024-12-01 23:58:37] [ETH] Última Média Rápida: 22337.272857142863 | Última Média Devagar: 22264.479249999997
[2024-12-01 23:58:39] [ADA] Última Média Rápida: 6.8837142857142855 | Última Média Devagar: 6.531499999999999
[2024-12-01 23:58:42] [BTC] Última Média Rápida: 586587.0 | Última Média Devagar: 583179.0
[2024-12-01 23:58:44] [ETH] Última Média Rápida: 22337.272857142863 | Última Média Devagar: 22264.479249999997
[2024-12-01 23:58:47] [ADA] Última Média Rápida: 6.8837142857142855 | Última Média Devagar: 6.531499999999999
[2024-12-01 23:58:50] [BTC] Última Média Rápida: 586587.0 | Última Média Devagar: 583179.0
[2024-12-01 23:58:52] [ETH] Última Média Rápida: 22337.272857142863 | Última Média Devagar: 22264.479249999997
[2024-12-01 23:58:55] [ADA] Última Média Rápida: 6.881142857142857 | Última Média Devagar: 6.5310500000000005
[2024-12-01 23:58:58] [BTC] Última Média Rápida: 586587.0 | Última Média Devagar: 583179.0
[2024-12-01 23:59:00] [ETH] Última Média Rápida: 22337.272857142863 | Última Média Devagar: 22264.479249999997
[2024-12-01 23:59:03] [ADA] Última Média Rápida: 6.881142857142857 | Última Média Devagar: 6.5310500000000005
[2024-12-01 23:59:05] [BTC] Última Média Rápida: 586560.0 | Última Média Devagar: 583174.275
[2024-12-01 23:59:08] [ETH] Última Média Rápida: 22337.272857142863 | Última Média Devagar: 22264.479249999997
[2024-12-01 23:59:11] [ADA] Última Média Rápida: 6.881142857142857 | Última Média Devagar: 6.5310500000000005
[2024-12-01 23:59:13] [BTC] Última Média Rápida: 586560.0 | Última Média Devagar: 583174.275
[2024-12-01 23:59:16] [ETH] Última Média Rápida: 22337.272857142863 | Última Média Devagar: 22264.479249999997
[2024-12-01 23:59:18] [ADA] Última Média Rápida: 6.881142857142857 | Última Média Devagar: 6.5310500000000005
[2024-12-01 23:59:21] [BTC] Última Média Rápida: 586560.0 | Última Média Devagar: 583174.275
[2024-12-01 23:59:23] [ETH] Última Média Rápida: 22338.704285714288 | Última Média Devagar: 22264.72975
[2024-12-01 23:59:26] [ADA] Última Média Rápida: 6.881142857142857 | Última Média Devagar: 6.5310500000000005
[2024-12-01 23:59:29] [BTC] Última Média Rápida: 586575.0 | Última Média Devagar: 583176.9
[2024-12-01 23:59:31] [ETH] Última Média Rápida: 22338.705714285716 | Última Média Devagar: 22264.73
[2024-12-01 23:59:34] [ADA] Última Média Rápida: 6.881142857142857 | Última Média Devagar: 6.5310500000000005
[2024-12-01 23:59:37] [BTC] Última Média Rápida: 586575.0 | Última Média Devagar: 583176.9
[2024-12-01 23:59:39] [ETH] Última Média Rápida: 22338.705714285716 | Última Média Devagar: 22264.73
[2024-12-01 23:59:42] [ADA] Última Média Rápida: 6.881142857142857 | Última Média Devagar: 6.5310500000000005
[2024-12-01 23:59:44] [BTC] Última Média Rápida: 586605.7142857143 | Última Média Devagar: 583182.275
[2024-12-01 23:59:47] [ETH] Última Média Rápida: 22339.480000000003 | Última Média Devagar: 22264.8655
[2024-12-01 23:59:50] [ADA] Última Média Rápida: 6.881142857142857 | Última Média Devagar: 6.5310500000000005
[2024-12-01 23:59:52] [BTC] Última Média Rápida: 586621.0 | Última Média Devagar: 583184.95
[2024-12-01 23:59:55] [ETH] Última Média Rápida: 22339.480000000003 | Última Média Devagar: 22264.8655
[2024-12-01 23:59:57] [ADA] Última Média Rápida: 6.881142857142857 | Última Média Devagar: 6.5310500000000005
[2024-12-02 00:00:00] [BTC] Última Média Rápida: 586613.5714285715 | Última Média Devagar: 583183.65
[2024-12-02 00:00:03] [ETH] Última Média Rápida: 22385.10142857143 | Última Média Devagar: 22279.442
[2024-12-02 00:00:05] [ADA] Última Média Rápida: 6.921857142857143 | Última Média Devagar: 6.541849999999999
[2024-12-02 00:00:08] [BTC] Última Média Rápida: 587111.4285714285 | Última Média Devagar: 583426.875
[2024-12-02 00:00:11] [ETH] Última Média Rápida: 22385.10142857143 | Última Média Devagar: 22279.442
[2024-12-02 00:00:13] [ADA] Última Média Rápida: 6.921857142857143 | Última Média Devagar: 6.541849999999999
[2024-12-02 00:00:16] [BTC] Última Média Rápida: 587111.4285714285 | Última Média Devagar: 583426.875
[2024-12-02 00:00:18] [ETH] Última Média Rápida: 22383.31428571429 | Última Média Devagar: 22279.129249999998
[2024-12-02 00:00:21] [ADA] Última Média Rápida: 6.921857142857143 | Última Média Devagar: 6.541849999999999
[2024-12-02 00:00:24] [BTC] Última Média Rápida: 587120.7142857143 | Última Média Devagar: 583428.5
[2024-12-02 00:00:26] [ETH] Última Média Rápida: 22383.31428571429 | Última Média Devagar: 22279.129249999998
[2024-12-02 00:00:29] [ADA] Última Média Rápida: 6.923857142857143 | Última Média Devagar: 6.542199999999999
[2024-12-02 00:00:31] [BTC] Última Média Rápida: 587102.8571428572 | Última Média Devagar: 583425.375
[2024-12-02 00:00:34] [ETH] Última Média Rápida: 22386.924285714285 | Última Média Devagar: 22279.761
[2024-12-02 00:00:36] [ADA] Última Média Rápida: 6.923857142857143 | Última Média Devagar: 6.542199999999999
[2024-12-02 00:00:39] [BTC] Última Média Rápida: 587137.1428571428 | Última Média Devagar: 583431.375
[2024-12-02 00:00:42] [ETH] Última Média Rápida: 22390.747142857144 | Última Média Devagar: 22280.43
[2024-12-02 00:00:44] [ADA] Última Média Rápida: 6.923857142857143 | Última Média Devagar: 6.542199999999999
[2024-12-02 00:00:47] [BTC] Última Média Rápida: 587137.1428571428 | Última Média Devagar: 583431.375
[2024-12-02 00:00:49] [ETH] Última Média Rápida: 22389.472857142857 | Última Média Devagar: 22280.207
[2024-12-02 00:00:52] [ADA] Última Média Rápida: 6.923857142857143 | Última Média Devagar: 6.542199999999999
[2024-12-02 00:00:54] [BTC] Última Média Rápida: 587115.5714285715 | Última Média Devagar: 583427.6
[2024-12-02 00:00:57] [ETH] Última Média Rápida: 22388.518571428573 | Última Média Devagar: 22280.04
[2024-12-02 00:01:00] [ADA] Última Média Rápida: 6.923857142857143 | Última Média Devagar: 6.542199999999999
[2024-12-02 00:01:02] [BTC] Última Média Rápida: 587120.7142857143 | Última Média Devagar: 583428.5
[2024-12-02 00:01:05] [ETH] Última Média Rápida: 22391.278571428575 | Última Média Devagar: 22280.522999999997
[2024-12-02 00:01:07] [ADA] Última Média Rápida: 6.923857142857143 | Última Média Devagar: 6.542199999999999
[2024-12-02 00:01:10] [BTC] Última Média Rápida: 587120.7142857143 | Última Média Devagar: 583428.5
[2024-12-02 00:01:13] [ETH] Última Média Rápida: 22391.278571428575 | Última Média Devagar: 22280.522999999997
[2024-12-02 00:01:15] [ADA] Última Média Rápida: 6.921714285714286 | Última Média Devagar: 6.541825
[2024-12-02 00:01:18] [BTC] Última Média Rápida: 587120.8571428572 | Última Média Devagar: 583428.525
[2024-12-02 00:01:20] [ETH] Última Média Rápida: 22392.24428571429 | Última Média Devagar: 22280.692
[2024-12-02 00:01:23] [ADA] Última Média Rápida: 6.921714285714286 | Última Média Devagar: 6.541825
[2024-12-02 00:01:25] [BTC] Última Média Rápida: 587161.1428571428 | Última Média Devagar: 583435.575
[2024-12-02 00:01:28] [ETH] Última Média Rápida: 22392.24428571429 | Última Média Devagar: 22280.692
[2024-12-02 00:01:31] [ADA] Última Média Rápida: 6.921714285714286 | Última Média Devagar: 6.541825
[2024-12-02 00:01:33] [BTC] Última Média Rápida: 587157.1428571428 | Última Média Devagar: 583434.875
[2024-12-02 00:01:36] [ETH] Última Média Rápida: 22392.24428571429 | Última Média Devagar: 22280.692
[2024-12-02 00:01:38] [ADA] Última Média Rápida: 6.921714285714286 | Última Média Devagar: 6.541825
[2024-12-02 00:01:41] [BTC] Última Média Rápida: 587157.1428571428 | Última Média Devagar: 583434.875
[2024-12-02 00:01:43] [ETH] Última Média Rápida: 22393.77142857143 | Última Média Devagar: 22280.95925
[2024-12-02 00:01:46] [ADA] Última Média Rápida: 6.921714285714286 | Última Média Devagar: 6.541825
[2024-12-02 00:01:49] [BTC] Última Média Rápida: 587155.4285714285 | Última Média Devagar: 583434.575
[2024-12-02 00:01:51] [ETH] Última Média Rápida: 22393.77142857143 | Última Média Devagar: 22280.95925
[2024-12-02 00:01:54] [ADA] Última Média Rápida: 6.921714285714286 | Última Média Devagar: 6.541825
[2024-12-02 00:01:56] [BTC] Última Média Rápida: 587149.7142857143 | Última Média Devagar: 583433.575
[2024-12-02 00:01:59] [ETH] Última Média Rápida: 22394.79 | Última Média Devagar: 22281.1375
[2024-12-02 00:02:02] [ADA] Última Média Rápida: 6.921714285714286 | Última Média Devagar: 6.541825
[2024-12-02 00:02:05] [BTC] Última Média Rápida: 587149.7142857143 | Última Média Devagar: 583433.575
[2024-12-02 00:02:07] [ETH] Última Média Rápida: 22394.79142857143 | Última Média Devagar: 22281.13775
[2024-12-02 00:02:10] [ADA] Última Média Rápida: 6.921714285714286 | Última Média Devagar: 6.541825
[2024-12-02 00:02:12] [BTC] Última Média Rápida: 587111.5714285715 | Última Média Devagar: 583426.9
[2024-12-02 00:02:15] [ETH] Última Média Rápida: 22397.12 | Última Média Devagar: 22281.54525
[2024-12-02 00:02:17] [ADA] Última Média Rápida: 6.921714285714286 | Última Média Devagar: 6.541825
[2024-12-02 00:02:20] [BTC] Última Média Rápida: 587108.2857142857 | Última Média Devagar: 583426.325
[2024-12-02 00:02:23] [ETH] Última Média Rápida: 22394.79 | Última Média Devagar: 22281.1375
[2024-12-02 00:02:25] [ADA] Última Média Rápida: 6.921714285714286 | Última Média Devagar: 6.541825
[2024-12-02 00:02:28] [BTC] Última Média Rápida: 587103.4285714285 | Última Média Devagar: 583425.475
[2024-12-02 00:02:30] [ETH] Última Média Rápida: 22396.16285714286 | Última Média Devagar: 22281.37775
[2024-12-02 00:02:33] [ADA] Última Média Rápida: 6.921714285714286 | Última Média Devagar: 6.541825
[2024-12-02 00:02:36] [BTC] Última Média Rápida: 587089.7142857143 | Última Média Devagar: 583423.075
[2024-12-02 00:02:38] [ETH] Última Média Rápida: 22397.50285714286 | Última Média Devagar: 22281.61225
[2024-12-02 00:02:41] [ADA] Última Média Rápida: 6.921714285714286 | Última Média Devagar: 6.541825
[2024-12-02 00:02:43] [BTC] Última Média Rápida: 587088.7142857143 | Última Média Devagar: 583422.9
[2024-12-02 00:02:46] [ETH] Última Média Rápida: 22397.435714285715 | Última Média Devagar: 22281.6005
[2024-12-02 00:02:48] [ADA] Última Média Rápida: 6.921714285714286 | Última Média Devagar: 6.541825
[2024-12-02 00:02:51] [BTC] Última Média Rápida: 587085.2857142857 | Última Média Devagar: 583422.3
[2024-12-02 00:02:54] [ETH] Última Média Rápida: 22393.614285714288 | Última Média Devagar: 22280.93175
[2024-12-02 00:02:56] [ADA] Última Média Rápida: 6.921714285714286 | Última Média Devagar: 6.541825
[2024-12-02 00:02:59] [BTC] Última Média Rápida: 587085.2857142857 | Última Média Devagar: 583422.3
[2024-12-02 00:03:01] [ETH] Última Média Rápida: 22393.608571428573 | Última Média Devagar: 22280.93075
[2024-12-02 00:03:04] [ADA] Última Média Rápida: 6.921714285714286 | Última Média Devagar: 6.541825
[2024-12-02 00:03:06] [BTC] Última Média Rápida: 587064.5714285715 | Última Média Devagar: 583418.675
[2024-12-02 00:03:09] [ETH] Última Média Rápida: 22393.608571428573 | Última Média Devagar: 22280.93075
[2024-12-02 00:03:12] [ADA] Última Média Rápida: 6.921714285714286 | Última Média Devagar: 6.541825
[2024-12-02 00:03:14] [BTC] Última Média Rápida: 587064.5714285715 | Última Média Devagar: 583418.675
[2024-12-02 00:03:17] [ETH] Última Média Rápida: 22396.8 | Última Média Devagar: 22281.48925
[2024-12-02 00:03:19] [ADA] Última Média Rápida: 6.921714285714286 | Última Média Devagar: 6.541825
[2024-12-02 00:03:22] [BTC] Última Média Rápida: 587064.5714285715 | Última Média Devagar: 583418.675
[2024-12-02 00:03:24] [ETH] Última Média Rápida: 22398.75285714286 | Última Média Devagar: 22281.831
[2024-12-02 00:03:27] [ADA] Última Média Rápida: 6.921714285714286 | Última Média Devagar: 6.541825
[2024-12-02 00:03:30] [BTC] Última Média Rápida: 587049.1428571428 | Última Média Devagar: 583415.975
[2024-12-02 00:03:32] [ETH] Última Média Rápida: 22400.22 | Última Média Devagar: 22282.08775
[2024-12-02 00:03:35] [ADA] Última Média Rápida: 6.921714285714286 | Última Média Devagar: 6.541825
[2024-12-02 00:03:37] [BTC] Última Média Rápida: 587049.1428571428 | Última Média Devagar: 583415.975
[2024-12-02 00:03:40] [ETH] Última Média Rápida: 22401.43142857143 | Última Média Devagar: 22282.29975
[2024-12-02 00:03:43] [ADA] Última Média Rápida: 6.921714285714286 | Última Média Devagar: 6.541825
[2024-12-02 00:03:46] [BTC] Última Média Rápida: 587049.1428571428 | Última Média Devagar: 583415.975
[2024-12-02 00:03:48] [ETH] Última Média Rápida: 22402.67285714286 | Última Média Devagar: 22282.517
[2024-12-02 00:03:51] [ADA] Última Média Rápida: 6.921714285714286 | Última Média Devagar: 6.541825
[2024-12-02 00:03:53] [BTC] Última Média Rápida: 587049.1428571428 | Última Média Devagar: 583415.975
[2024-12-02 00:03:56] [ETH] Última Média Rápida: 22402.67285714286 | Última Média Devagar: 22282.517
[2024-12-02 00:03:58] [ADA] Última Média Rápida: 6.921714285714286 | Última Média Devagar: 6.541825
[2024-12-02 00:04:01] [BTC] Última Média Rápida: 587004.7142857143 | Última Média Devagar: 583408.2
[2024-12-02 00:04:04] [ETH] Última Média Rápida: 22402.67285714286 | Última Média Devagar: 22282.517
[2024-12-02 00:04:06] [ADA] Última Média Rápida: 6.921714285714286 | Última Média Devagar: 6.541825
[2024-12-02 00:04:09] [BTC] Última Média Rápida: 587027.5714285715 | Última Média Devagar: 583412.2
[2024-12-02 00:04:11] [ETH] Última Média Rápida: 22398.132857142857 | Última Média Devagar: 22281.722499999996
[2024-12-02 00:04:14] [ADA] Última Média Rápida: 6.921714285714286 | Última Média Devagar: 6.541825
[2024-12-02 00:04:17] [BTC] Última Média Rápida: 587027.5714285715 | Última Média Devagar: 583412.2
[2024-12-02 00:04:19] [ETH] Última Média Rápida: 22399.464285714286 | Última Média Devagar: 22281.9555
[2024-12-02 00:04:22] [ADA] Última Média Rápida: 6.917142857142857 | Última Média Devagar: 6.541024999999999
[2024-12-02 00:04:24] [BTC] Última Média Rápida: 587011.2857142857 | Última Média Devagar: 583409.35
[2024-12-02 00:04:27] [ETH] Última Média Rápida: 22399.29142857143 | Última Média Devagar: 22281.92525
[2024-12-02 00:04:29] [ADA] Última Média Rápida: 6.917142857142857 | Última Média Devagar: 6.541024999999999
[2024-12-02 00:04:32] [BTC] Última Média Rápida: 587011.2857142857 | Última Média Devagar: 583409.35
[2024-12-02 00:04:35] [ETH] Última Média Rápida: 22399.29142857143 | Última Média Devagar: 22281.92525
[2024-12-02 00:04:37] [ADA] Última Média Rápida: 6.917142857142857 | Última Média Devagar: 6.541024999999999
[2024-12-02 00:04:40] [BTC] Última Média Rápida: 587008.5714285715 | Última Média Devagar: 583408.875
[2024-12-02 00:04:42] [ETH] Última Média Rápida: 22399.29142857143 | Última Média Devagar: 22281.92525
[2024-12-02 00:04:45] [ADA] Última Média Rápida: 6.917142857142857 | Última Média Devagar: 6.541024999999999
[2024-12-02 00:04:47] [BTC] Última Média Rápida: 587043.8571428572 | Última Média Devagar: 583415.05
[2024-12-02 00:04:50] [ETH] Última Média Rápida: 22399.29142857143 | Última Média Devagar: 22281.92525
[2024-12-02 00:04:53] [ADA] Última Média Rápida: 6.917142857142857 | Última Média Devagar: 6.541024999999999
[2024-12-02 00:04:55] [BTC] Última Média Rápida: 587043.8571428572 | Última Média Devagar: 583415.05
[2024-12-02 00:04:58] [ETH] Última Média Rápida: 22399.29142857143 | Última Média Devagar: 22281.92525
[2024-12-02 00:05:00] [ADA] Última Média Rápida: 6.917142857142857 | Última Média Devagar: 6.541024999999999
[2024-12-02 00:05:03] [BTC] Última Média Rápida: 587043.8571428572 | Última Média Devagar: 583415.05
[2024-12-02 00:05:06] [ETH] Última Média Rápida: 22401.225714285716 | Última Média Devagar: 22282.26375
[2024-12-02 00:05:08] [ADA] Última Média Rápida: 6.917142857142857 | Última Média Devagar: 6.541024999999999
[2024-12-02 00:05:11] [BTC] Última Média Rápida: 587038.5714285715 | Última Média Devagar: 583414.125
[2024-12-02 00:05:13] [ETH] Última Média Rápida: 22402.36285714286 | Última Média Devagar: 22282.46275
[2024-12-02 00:05:16] [ADA] Última Média Rápida: 6.917142857142857 | Última Média Devagar: 6.541024999999999
[2024-12-02 00:05:18] [BTC] Última Média Rápida: 587010.2857142857 | Última Média Devagar: 583409.175
[2024-12-02 00:05:21] [ETH] Última Média Rápida: 22402.36285714286 | Última Média Devagar: 22282.46275
[2024-12-02 00:05:24] [ADA] Última Média Rápida: 6.917142857142857 | Última Média Devagar: 6.541024999999999
[2024-12-02 00:05:26] [BTC] Última Média Rápida: 587010.2857142857 | Última Média Devagar: 583409.175
[2024-12-02 00:05:29] [ETH] Última Média Rápida: 22401.87285714286 | Última Média Devagar: 22282.377
[2024-12-02 00:05:31] [ADA] Última Média Rápida: 6.917142857142857 | Última Média Devagar: 6.541024999999999
[2024-12-02 00:05:36] [BTC] Última Média Rápida: 587014.1428571428 | Última Média Devagar: 583409.85
[2024-12-02 00:05:39] [ETH] Última Média Rápida: 22401.87285714286 | Última Média Devagar: 22282.377
[2024-12-02 00:05:41] [ADA] Última Média Rápida: 6.917142857142857 | Última Média Devagar: 6.541024999999999
[2024-12-02 00:05:44] [SOL] Última Média Rápida: 1421.2285714285715 | Última Média Devagar: 1430.8475
[2024-12-02 00:05:47] [LINK] Última Média Rápida: 115.47714285714287 | Última Média Devagar: 113.5385
[2024-12-02 00:05:49] [BTC] Última Média Rápida: 587038.5714285715 | Última Média Devagar: 583414.125
[2024-12-02 00:05:52] [ETH] Última Média Rápida: 22401.885714285716 | Última Média Devagar: 22282.37925
[2024-12-02 00:05:55] [ADA] Última Média Rápida: 6.917142857142857 | Última Média Devagar: 6.541024999999999
[2024-12-02 00:05:57] [SOL] Última Média Rápida: 1421.2285714285715 | Última Média Devagar: 1430.8475
[2024-12-02 00:06:00] [LINK] Última Média Rápida: 115.52428571428572 | Última Média Devagar: 113.54675
[2024-12-02 00:06:02] [BTC] Última Média Rápida: 587038.5714285715 | Última Média Devagar: 583414.125
[2024-12-02 00:06:05] [ETH] Última Média Rápida: 22402.208571428575 | Última Média Devagar: 22282.43575
[2024-12-02 00:06:08] [ADA] Última Média Rápida: 6.920857142857144 | Última Média Devagar: 6.541675
[2024-12-02 00:06:10] [SOL] Última Média Rápida: 1421.3714285714286 | Última Média Devagar: 1430.8725
